a,b,c
-1.61153,-7.74778,91.8907
0.546094,-9.09807,24.5191
-1.77372,3.36761,34.9349
2.20056,-6.00663,-54.7701
5.35142,-1.33227e-15,-294.328
-0.519758,7.57089,-71.2588
