a,b,c
-4.53773,-6.66134e-16,-22.6886
-0.655321,-6.31597,-13.2497
-2.54684,6.67289,-11.5952
3.53168,-7.68823,-61.3465
3.63644,-0.257041,-57.4564
1.33805,7.97549,-50.0148
-0.571719,9.52498,-36.3654
