a,b,c
-0.910825,-3.80301,29.4161
2.67215,-9.88856,-52.7134
-2.98224,6.6876,15.9903
5.47269,-9.47898,-141.914
3.1385,1.20264,-115.907
-0.558041,9.2971,-84.7809
