a,b,c
-2.01093,-6.048,58.4226
0.671309,-11.1842,-0.386814
-3.05278,5.71873,25.0983
3.36372,-6.39009,-84.5444
1.65519,3.27228,-83.5376
-0.640711,10.6712,-97.3049
