a,b,c
-1.51013,-5.02504,-7.44604
0.570962,-9.51238,-38.2541
-4.89707,8.48197,-11.3501
3.96029,-9.79301,-70.8881
3.4003,-3.5909,-49.0987
-0.300774,5.35944,-18.7465
