a,b,c
-1.03462,-5.37016,60.8773
0.469428,-7.82079,21.0769
-4.60312,7.41864,103.728
3.73056,-10.4943,-90.6117
2.72306,-7.77156e-16,-149.769
-4.1277,9.8118,57.6296
