a,b,c
-0.900306,-4.66994,52.9597
0.411594,-6.85727,18.4802
-4.97994,8.33098,109.202
3.01896,-9.9284,-63.0067
2.69287,-5.55112e-16,-148.108
-4.47723,10.3126,66.5998
