a,b,c
-2.96031,-3.05614,69.7633
0.427498,-7.12222,-0.246328
-3.33869,5.78277,31.1012
3.30911,-5.73154,-85.8092
2.78198,3.40182,-122.583
-0.560614,9.33997,-85.1718
