a,b,c
-2.97993,-3.19854,70.565
0.430602,-7.17394,-0.248116
-3.21234,5.56394,29.9243
3.43873,-5.95606,-89.1705
2.98042,2.96435,-125.549
-0.528983,8.81298,-80.3662
