a,b,c
-2.92732,-3.11762,69.2512
0.43167,-7.19174,-0.248732
-3.32704,5.7626,30.9927
3.30256,-5.7202,-85.6393
2.75665,3.45839,-122.211
-0.565784,9.42611,-85.9573
