a,b,c
-3.57421,-7.21645e-16,-17.8711
-0.137141,-6.50211,-15.323
-1.16794,6.46121,-13.8776
3.74397,-6.48475,-62.0542
4.43291,1.28967,-72.2543
2.66928,9.54722,-73.0942
