a,b,c
-3.47552,11.6215,-5.67931
2.30455,-18.5997,3.96115
-2.89163,19.9685,-72.2553
4.01021,-21.3781,-35.3803
3.67712,-13.6026,-65.8906
2.39113,2.27596e-15,-131.512
